longAccount,longShortRatio,shortAccount,symbol,timestamp
0.5846,1.4073,0.4154,BTCUSDT,2022-03-21 08:00:00
0.5664,1.3063,0.4336,BTCUSDT,2022-03-21 09:00:00
0.5727,1.3403,0.4273,BTCUSDT,2022-03-21 10:00:00
0.5982,1.4888,0.4018,BTCUSDT,2022-03-21 11:00:00
0.5979,1.4869,0.4021,BTCUSDT,2022-03-21 12:00:00
0.6001,1.5006,0.3999,BTCUSDT,2022-03-21 13:00:00
0.6035,1.5221,0.3965,BTCUSDT,2022-03-21 14:00:00
0.6061,1.5387,0.3939,BTCUSDT,2022-03-21 15:00:00
0.6032,1.5202,0.3968,BTCUSDT,2022-03-21 16:00:00
0.5912,1.4462,0.4088,BTCUSDT,2022-03-21 17:00:00
0.5875,1.4242,0.4125,BTCUSDT,2022-03-21 18:00:00
0.5868,1.4201,0.4132,BTCUSDT,2022-03-21 19:00:00
0.589,1.4331,0.411,BTCUSDT,2022-03-21 20:00:00
0.5995,1.4969,0.4005,BTCUSDT,2022-03-21 21:00:00
0.6014,1.5088,0.3986,BTCUSDT,2022-03-21 22:00:00
0.6289,1.6947,0.3711,BTCUSDT,2022-03-21 23:00:00
0.6197,1.6295,0.3803,BTCUSDT,2022-03-22 00:00:00
0.6272,1.6824,0.3728,BTCUSDT,2022-03-22 01:00:00
0.6266,1.6781,0.3734,BTCUSDT,2022-03-22 02:00:00
0.6216,1.6427,0.3784,BTCUSDT,2022-03-22 03:00:00
0.6196,1.6288,0.3804,BTCUSDT,2022-03-22 04:00:00
0.6112,1.572,0.3888,BTCUSDT,2022-03-22 05:00:00
0.6097,1.5621,0.3903,BTCUSDT,2022-03-22 06:00:00
0.6122,1.5786,0.3878,BTCUSDT,2022-03-22 07:00:00
0.6158,1.6028,0.3842,BTCUSDT,2022-03-22 08:00:00
0.6207,1.6364,0.3793,BTCUSDT,2022-03-22 09:00:00
0.617,1.611,0.383,BTCUSDT,2022-03-22 10:00:00
0.565,1.2989,0.435,BTCUSDT,2022-03-22 11:00:00
0.541,1.1786,0.459,BTCUSDT,2022-03-22 12:00:00
0.5263,1.111,0.4737,BTCUSDT,2022-03-22 13:00:00
