longAccount,longShortRatio,shortAccount,symbol,timestamp
0.5846,1.4073,0.4154,BTCUSDT,2022-03-21 08:00:00
0.5841,1.4044,0.4159,BTCUSDT,2022-03-21 08:05:00
0.5841,1.4044,0.4159,BTCUSDT,2022-03-21 08:10:00
0.5672,1.3105,0.4328,BTCUSDT,2022-03-21 08:15:00
0.5666,1.3073,0.4334,BTCUSDT,2022-03-21 08:20:00
0.5681,1.3154,0.4319,BTCUSDT,2022-03-21 08:25:00
0.5679,1.3143,0.4321,BTCUSDT,2022-03-21 08:30:00
0.5685,1.3175,0.4315,BTCUSDT,2022-03-21 08:35:00
0.5682,1.3159,0.4318,BTCUSDT,2022-03-21 08:40:00
0.5682,1.3159,0.4318,BTCUSDT,2022-03-21 08:45:00
0.5678,1.3137,0.4322,BTCUSDT,2022-03-21 08:50:00
0.5679,1.3143,0.4321,BTCUSDT,2022-03-21 08:55:00
0.5664,1.3063,0.4336,BTCUSDT,2022-03-21 09:00:00
0.5649,1.2983,0.4351,BTCUSDT,2022-03-21 09:05:00
0.5648,1.2978,0.4352,BTCUSDT,2022-03-21 09:10:00
0.5648,1.2978,0.4352,BTCUSDT,2022-03-21 09:15:00
0.5647,1.2973,0.4353,BTCUSDT,2022-03-21 09:20:00
0.5677,1.3132,0.4323,BTCUSDT,2022-03-21 09:25:00
0.5688,1.3191,0.4312,BTCUSDT,2022-03-21 09:30:00
0.5697,1.324,0.4303,BTCUSDT,2022-03-21 09:35:00
0.57,1.3256,0.43,BTCUSDT,2022-03-21 09:40:00
0.5703,1.3272,0.4297,BTCUSDT,2022-03-21 09:45:00
0.5714,1.3332,0.4286,BTCUSDT,2022-03-21 09:50:00
0.5722,1.3375,0.4278,BTCUSDT,2022-03-21 09:55:00
0.5727,1.3403,0.4273,BTCUSDT,2022-03-21 10:00:00
0.5731,1.3425,0.4269,BTCUSDT,2022-03-21 10:05:00
0.5731,1.3425,0.4269,BTCUSDT,2022-03-21 10:10:00
0.5733,1.3436,0.4267,BTCUSDT,2022-03-21 10:15:00
