longAccount,longShortRatio,shortAccount,symbol,timestamp
0.6292,1.6969,0.3708,BTCUSDT,2021-08-30 14:55:00
0.6298,1.7012,0.3702,BTCUSDT,2021-08-30 15:00:00
0.6304,1.7056,0.3696,BTCUSDT,2021-08-30 15:05:00
0.6307,1.7078,0.3693,BTCUSDT,2021-08-30 15:10:00
0.6302,1.7042,0.3698,BTCUSDT,2021-08-30 15:15:00
0.6303,1.7049,0.3697,BTCUSDT,2021-08-30 15:20:00
0.6301,1.7034,0.3699,BTCUSDT,2021-08-30 15:25:00
0.6294,1.6983,0.3706,BTCUSDT,2021-08-30 15:30:00
0.6298,1.7012,0.3702,BTCUSDT,2021-08-30 15:35:00
0.6299,1.702,0.3701,BTCUSDT,2021-08-30 15:40:00
0.6312,1.7115,0.3688,BTCUSDT,2021-08-30 15:45:00
0.6314,1.713,0.3686,BTCUSDT,2021-08-30 15:50:00
0.6313,1.7122,0.3687,BTCUSDT,2021-08-30 15:55:00
